features,counts
mix,62
smile,62
loving,62
matters,62
limited,62
manage,62
scientist,62
producers,62
unfunny,62
notice,62
visually,62
process,62
sub,61
realized,61
travel,61
nuclear,61
finale,61
bland,61
destroy,61
color,61
plane,61
sick,61
heaven,61
hurt,61
strength,61
fake,61
fit,61
era,61
damn,61
superb,61
starship,61
moore,61
crash,61
guilty,61
protagonist,61
catherine,61
overly,61
bug,61
creature,60
paced,60
zero,60
broken,60
grand,60
impression,60
sharp,60
damme,60
relief,60
aspects,60
identity,60
acted,60
featuring,60
ultimate,60
core,60
bulworth,60
actions,60
fault,60
lucky,60
ted,60
shock,60
imagination,60
driven,59
books,59
files,59
expecting,59
technology,59
provided,59
standing,59
slasher,59
grant,59
tragedy,59
realizes,59
falling,59
horse,59
shouldn,59
content,59
offensive,59
dad,59
watched,59
step,59
seconds,59
washington,59
portrayed,59
ahead,59
thomas,59
miller,59
succeeds,59
brooks,59
humour,59
professional,59
intense,59
trust,59
build,59
mainly,58
ill,58
presents,58
fail,58
field,58
goal,58
humanity,58
nbsp,58
willing,58
nicholson,58
continue,58
woods,58
narrative,58
current,58
helps,58
headed,58
reach,58
remarkable,58
sarah,58
genius,58
hospital,58
drugs,58
amy,58
speed,58
dvd,58
ford,58
join,58
parody,58
badly,58
beach,58
ugly,58
virus,58
knowledge,58
dying,58
supposedly,58
strike,57
plus,57
dollars,57
lawrence,57
feet,57
individual,57
check,57
stuart,57
singing,57
likable,57
desire,57
frame,57
welcome,57
melvin,57
media,57
radio,57
kate,57
quiet,57
determined,57
driving,57
breaks,57
steal,57
floor,57
tired,56
skills,56
quest,56
seth,56
grows,56
kills,56
generated,56
hollow,56
laughable,56
hip,56
folks,56
scorsese,56
unexpected,56
bloody,56
hunt,56
cash,56
taylor,56
promise,56
cinematographer,56
bus,56
brian,56
value,56
walking,55
campbell,55
began,55
conflict,55
fame,55
accept,55
wondering,55
emotionally,55
warm,55
flicks,55
1995,55
villains,55
characterization,55
stock,55
window,55
larry,55
season,55
fare,55
stallone,55
draw,55
fights,55
30,55
joan,55
eat,55
honest,55
visuals,55
hunter,55
struggle,55
industry,55
stick,55
attractive,55
angel,54
religious,54
barry,54
path,54
talks,54
treat,54
meeting,54
test,54
luck,54
design,54
cell,54
league,54
acts,54
forgotten,54
mad,54
veteran,54
contrived,54
inevitable,54
wayne,54
arnold,54
cult,54
died,54
yeah,54
lord,53
rising,53
direct,53
anne,53
jar,53
arrives,53
sandler,53
asking,53
previously,53
cheesy,53
jump,53
super,53
professor,53
todd,53
urban,53
funniest,53
grow,53
thirty,53
oliver,53
assistant,53
send,53
figures,53
outstanding,53
comparison,53
utterly,53
excuse,53
followed,52
animal,52
routine,52
started,52
instance,52
positive,52
vehicle,52
built,52
thankfully,52
baseball,52
animals,52
regular,52
armageddon,52
ended,52
engaging,52
chicken,52
position,52
vincent,52
joel,52
guard,52
substance,52
games,52
serves,52
security,52
porn,52
fill,52
exact,52
fugitive,52
international,52
storm,52
eccentric,52
responsible,52
deadly,52
slave,51
beloved,51
below,51
growing,51
press,51
meg,51
1996,51
goodman,51
chief,51
donnell,51
surprises,51
hidden,51
community,51
naturally,51
chosen,51
player,51
paris,51
babe,51
extra,51
weeks,51
phil,51
roll,51
ball,51
seat,51
rival,51
cliched,51
directly,51
eve,51
church,51
heavily,50
flashbacks,50
memory,50
carpenter,50
saved,50
placed,50
17,50
service,50
jimmy,50
andrew,50
hopes,50
learned,50
vision,50
reveal,50
pilot,50
changed,50
austin,50
everybody,50
deals,50
freeman,50
schwarzenegger,50
alex,50
sheer,50
perspective,50
beast,50
sidney,50
jake,50
failure,50
england,50
relatively,50
mom,50
gotten,50
enter,50
morning,50
clich,49
putting,49
included,49
spot,49
sequels,49
legend,49
theatrical,49
ms,49
delightful,49
visit,49
gonna,49
costumes,49
trash,49
anthony,49
captured,49
justice,49
sorry,49
author,49
theatre,49
references,49
gary,49
hunting,49
evidence,49
reeves,49
originally,49
jackal,49
screenwriters,49
victims,49
cliche,49
remain,49
record,49
rick,49
murders,49
pulled,49
fish,49
structure,49
dirty,49
shrek,49
steals,49
streets,49
logic,49
extreme,49
apes,49
lets,49
encounter,49
risk,49
bound,49
walter,49
rise,49
fallen,49
besides,49
describe,49
witness,48
mediocre,48
dealing,48
suit,48
lacking,48
suspenseful,48
holes,48
liners,48
capable,48
complicated,48
support,48
soft,48
annie,48
judge,48
bear,48
capture,48
plots,48
stunts,48
aware,48
bobby,48
niro,48
weren,48
obsessed,48
source,48
frequently,48
originality,48
lewis,48
eric,48
afraid,48
adam,48
chicago,48
breaking,48
quaid,48
beatty,48
answers,48
crystal,47
oddly,47
foreign,47
threatening,47
memories,47
nonetheless,47
russian,47
nudity,47
handle,47
met,47
bigger,47
synopsis,47
occasional,47
fly,47
strikes,47
whenever,47
mob,47
center,47
eight,47
worker,47
passion,47
mistake,47
range,47
contrast,47
jedi,47
trio,47
blockbuster,47
genuinely,47
explains,47
shocking,47
rain,47
bomb,47
disappointment,47
narration,47
dozen,47
hopkins,47
wearing,47
efforts,47
faced,47
covered,47
climactic,47
suicide,47
joy,47
unlikely,47
haunted,47
suggest,47
grown,47
wood,47
successfully,47
50,47
bank,47
stiller,47
cars,47
performers,46
beat,46
buddy,46
hey,46
thoughts,46
pacing,46
foot,46
greg,46
refuses,46
broderick,46
bar,46
fifteen,46
unnecessary,46
bride,46
beautifully,46
cruise,46
accidentally,46
maggie,46
myers,46
dragon,46
colorful,46
extraordinary,46
lebowski,46
african,46
critic,46
laughed,46
explanation,46
advice,46
sea,46
disappointed,46
cat,46
ocean,46
sky,46
crisis,46
nomination,46
winner,46
loser,46
jon,46
investigation,46
danger,45
court,45
mid,45
surface,45
subplots,45
vampires,45
soldier,45
knowing,45
sole,45
costner,45
sends,45
weapon,45
enemy,45
rule,45
jobs,45
bed,45
anywhere,45
devil,45
heroine,45
loss,45
dinner,45
convinced,45
psychological,45
importantly,45
jail,45
hired,45
tragic,45
keaton,45
hearted,45
entertain,45
research,45
creatures,45
lisa,45
missed,45
creative,45
bitter,45
effectively,45
reese,45
hundred,45
noir,45
painful,45
mental,45
critique,45
halloween,45
damon,45
deeper,44
con,44
thoroughly,44
china,44
flaw,44
develop,44
dogs,44
friendship,44
historical,44
minds,44
initially,44
terribly,44
discovered,44
root,44
judd,44
requires,44
clean,44
loose,44
table,44
existence,44
essentially,44
flash,44
model,44
pulls,44
chases,44
largely,44
moved,44
stolen,44
suffering,44
explained,44
slapstick,44
attacks,44
12,44
exercise,44
weapons,44
surely,44
adams,44
jonathan,44
necessarily,44
nevertheless,44
national,44
bacon,44
sports,44
neil,43
pre,43
mitchell,43
values,43
15,43
appeared,43
agree,43
showed,43
proceedings,43
held,43
causes,43
nightmare,43
department,43
copy,43
patient,43
required,43
empty,43
drop,43
unfortunate,43
numbers,43
prince,43
trite,43
hang,43
lovers,43
emma,43
initial,43
study,43
claire,43
drunken,43
politics,43
recall,43
bag,43
lonely,43
concerned,43
tight,43
suffers,43
duvall,43
connection,43
hanging,42
thrillers,42
revealed,42
halfway,42
uninteresting,42
freedom,42
terror,42
ethan,42
flesh,42
unknown,42
london,42
jurassic,42
digital,42
unbelievable,42
designed,42
priest,42
status,42
terry,42
closer,42
twisted,42
baker,42
picks,42
dollar,42
punch,42
italian,42
deeply,42
walks,42
endless,42
murray,42
combination,42
finn,42
rip,42
reminded,42
gangster,42
agrees,42
ensemble,42
fu,42
makers,42
extended,42
wear,42
obligatory,42
traditional,42
cauldron,42
explosions,42
penn,42
cuts,42
understanding,42
hank,42
universe,42
arquette,42
sixth,41
lovely,41
buddies,41
significant,41
scare,41
claims,41
tiny,41
photography,41
drew,41
kung,41
reaction,41
western,41
foster,41
commercial,41
wind,41
satisfying,41
wallace,41
nine,41
friendly,41
albeit,41
shop,41
multiple,41
thrills,41
develops,41
drunk,41
vacation,41
prisoners,41
skin,41
artistic,41
irritating,41
happening,41
mile,41
desperately,41
granted,41
reveals,41
terrorist,41
conventional,41
fifth,41
inventive,41
described,41
marry,41
davis,41
texas,41
intensity,41
tense,41
finest,41
monkey,41
80,41
doors,40
wilson,40
mail,40
stylish,40
bats,40
paltrow,40
irish,40
football,40
trilogy,40
knock,40
trade,40
signs,40
circumstances,40
program,40
gross,40
bone,40
greater,40
carries,40
notch,40
paper,40
forth,40
likeable,40
forest,40
occur,40
studios,40
commentary,40
touches,40
struggling,40
saturday,40
absurd,40
courtroom,40
snipes,40
warner,40
opera,40
screening,40
excitement,40
lucy,40
handled,40
editor,40
terminator,40
painfully,40
wealthy,40
elaborate,40
prime,40
tucker,40
michelle,40
cuba,40
las,40
sell,40
destroyed,40
dry,40
suggests,40
trapped,40
neeson,40
gorgeous,40
stretch,39
holding,39
defense,39
display,39
bore,39
german,39
pig,39
eating,39
raise,39
corner,39
festival,39
unusual,39
intentions,39
warning,39
lake,39
barrymore,39
outrageous,39
frankly,39
allowed,39
scheme,39
hype,39
weight,39
bridge,39
revolves,39
agents,39
spiritual,39
comet,39
screaming,39
sudden,39
spirited,39
students,39
sleep,39
speaks,39
pitt,39
luke,39
voices,39
blown,39
directorial,39
bugs,39
practically,39
grade,39
desert,39
conspiracy,39
remaining,39
voiced,39
losing,39
destruction,39
gift,39
handful,38
childhood,38
spots,38
selling,38
deserve,38
replaced,38
recognize,38
senses,38
glenn,38
carol,38
wears,38
cgi,38
dress,38
brad,38
experiences,38
esque,38
com,38
ron,38
natasha,38
market,38
clue,38
gloria,38
pacino,38
stealing,38
round,38
golden,38
instinct,38
sitcom,38
paid,38
suffer,38
blow,38
sir,38
beating,38
capsule,38
classics,38
jesus,38
inspiration,38
critical,38
alice,38
kubrick,38
personally,38
mature,38
metal,38
spoken,38
sing,38
starting,38
butt,38
cox,38
size,38
ad,38
marie,38
hint,38
christian,38
bleak,38
buzz,38
obnoxious,38
costume,38
fairy,38
hearing,38
erotic,38
lived,38
adapted,38
gere,38
encounters,38
truck,38
throwing,38
promising,38
ghosts,38
sides,38
karen,38
sidekick,38
protagonists,38
river,38
weekend,37
stewart,37
trailers,37
roth,37
blind,37
scientists,37
shark,37
skip,37
tribe,37
provoking,37
banderas,37
awkward,37
delight,37
stereotypes,37
gory,37
jordan,37
hitchcock,37
cruel,37
independence,37
ordinary,37
intellectual,37
jolie,37
tradition,37
campaign,37
airplane,37
larger,37
depp,37
unable,37
henstridge,37
challenge,37
contemporary,37
steps,37
network,37
projects,37
paulie,37
basis,37
schumacher,37
notes,37
dressed,37
magical,37
bother,37
2001,37
operation,37
mouse,37
adventures,37
liam,37
block,37
types,37
drives,37
ironic,37
arm,37
spy,37
dean,37
thrilling,37
fortunately,37
honor,37
convince,37
aforementioned,37
treatment,37
1993,37
lloyd,37
higher,37
troubled,37
darkness,37
threat,37
conversation,37
brilliantly,37
silver,37
shall,36
bird,36
hopefully,36
stops,36
handsome,36
combined,36
abandoned,36
betty,36
psycho,36
mixed,36
depressing,36
location,36
twin,36
setup,36
spacey,36
wonders,36
dicaprio,36
lou,36
molly,36
quirky,36
collection,36
according,36
realism,36
holiday,36
70s,36
raised,36
crow,36
graham,36
ho,36
sleepy,36
birth,36
lifeless,36
laughter,36
term,36
ape,36
chain,36
ring,36
sword,36
remembered,36
independent,36
