features,counts
richard,119
frank,119
follow,119
brought,119
vampire,118
terrible,118
teen,118
rule,118
political,118
law,118
beauty,118
baby,118
animation,118
various,117
thinking,117
student,117
society,117
particular,117
neither,117
gag,117
dumb,117
cause,117
attack,117
today,116
inside,116
impossible,116
hate,116
hank,116
cliche,116
took,115
talented,115
filled,115
fast,115
fails,115
appear,115
adventure,115
slightly,114
overall,114
win,113
truth,113
share,113
queen,113
purpose,113
player,113
personality,113
merely,113
government,113
cinematic,113
charm,113
blue,113
actual,113
toy,112
tim,112
steve,112
simon,112
monster,112
miss,112
killing,112
harry,112
greatest,112
enjoyable,112
box,112
tone,111
nick,111
memorable,111
list,111
liked,111
indeed,111
havent,111
depth,111
walk,110
silly,110
island,110
episode,110
decent,110
cold,110
ultimately,109
subplot,109
otherwise,109
officer,109
catch,109
british,109
setting,108
hill,108
cameo,108
biggest,108
background,108
wanted,107
violent,107
sign,107
pick,107
convincing,107
cinematography,107
wait,106
throw,106
steal,106
race,106
minor,106
max,106
key,106
impact,106
ghost,106
fantasy,106
carter,106
wood,105
track,105
ten,105
machine,105
fire,105
female,105
expected,105
english,105
eddie,105
creature,105
constantly,105
willis,104
strike,104
spend,104
sit,104
lover,104
development,104
belief,104
atmosphere,104
west,103
suddenly,103
month,103
difference,103
cannot,103
tough,102
language,102
ii,102
grace,102
air,102
spent,101
shoot,101
sean,101
scott,101
opportunity,101
meanwhile,101
mary,101
further,101
earlier,101
control,101
brown,101
term,100
storyline,100
partner,100
entirely,100
dull,100
delivers,100
date,100
common,100
ask,100
wrote,99
woody,99
trip,99
tension,99
standard,99
plenty,99
leader,99
front,99
drive,99
detective,99
complex,99
whatever,98
subtle,98
store,98
scientist,98
recently,98
prof,98
outside,98
knew,98
ground,98
college,98
value,97
ridiculous,97
protagonist,97
gave,97
energy,97
climax,97
bug,97
believable,97
animal,97
typical,96
search,96
memory,96
land,96
foot,96
fit,96
casting,96
building,96
budget,96
band,96
asks,96
truman,95
spielberg,95
somewhere,95
rated,95
pop,95
issue,95
hear,95
generation,95
edward,95
dollar,95
doctor,95
clearly,95
chemistry,95
aside,95
interested,94
forget,94
decision,94
cute,94
club,94
cheap,94
central,94
brief,94
basic,94
adam,94
yourself,93
tarantino,93
system,93
quick,93
provide,93
period,93
occasionally,93
modern,93
imagine,93
fairly,93
etc,93
device,93
concept,93
bizarre,93
amusing,93
affair,93
titanic,92
step,92
singer,92
scifi,92
road,92
ride,92
male,92
jackson,92
intelligence,92
becoming,92
artist,92
witch,91
totally,91
remains,91
realistic,91
reach,91
mention,91
manner,91
longer,91
learns,91
french,91
flat,91
famous,91
exception,91
considering,91
color,91
century,91
blade,91
travel,90
pace,90
opinion,90
mouth,90
highly,90
deserves,90
decade,90
criminal,90
caught,90
awful,90
alive,90
unique,89
thanks,89
seven,89
president,89
low,89
green,89
free,89
dance,89
award,89
telling,88
steven,88
stephen,88
shown,88
saving,88
normal,88
lady,88
incredibly,88
hardly,88
expectation,88
dy,88
directing,88
cage,88
apart,88
weapon,87
six,87
possibly,87
looked,87
jennifer,87
individual,87
encounter,87
discovers,87
cover,87
costume,87
bos,87
spirit,86
rescue,86
ready,86
jr,86
include,86
gay,86
buy,86
billy,86
worked,85
train,85
stage,85
spice,85
rush,85
remake,85
provides,85
okay,85
menace,85
laughing,85
kiss,85
jerry,85
introduced,85
elizabeth,85
contains,85
conclusion,85
chan,85
youd,84
trek,84
spot,84
slowly,84
promise,84
pleasure,84
moral,84
mike,84
medium,84
lucas,84
loved,84
join,84
flashback,84
dude,84
christopher,84
charles,84
apartment,84
accent,84
write,83
thus,83
surprised,83
skill,83
sent,83
respect,83
product,83
pair,83
mysterious,83
loud,83
leading,83
lawyer,83
julia,83
godzilla,83
camp,83
cameron,83
wit,82
treat,82
thin,82
tarzan,82
specie,82
seemingly,82
pain,82
led,82
heavy,82
gibson,82
average,82
ape,82
admit,82
addition,82
accident,82
waiting,81
produced,81
missing,81
lame,81
fox,81
decide,81
creates,81
barely,81
wear,80
needed,80
innocent,80
horrible,80
fresh,80
enjoyed,80
decided,80
brain,80
became,80
wasted,79
thrown,79
terrific,79
teenager,79
teacher,79
speech,79
social,79
patrick,79
news,79
mood,79
julie,79
food,79
folk,79
filmmaking,79
fair,79
douglas,79
build,79
buddy,79
appeal,79
adaptation,79
wall,78
soul,78
odd,78
mar,78
jump,78
intended,78
edge,78
chinese,78
weve,77
viewing,77
spawn,77
shakespeare,77
reference,77
rare,77
pulp,77
owner,77
older,77
matthew,77
jason,77
graphic,77
forward,77
fellow,77
fault,77
equally,77
debut,77
crash,77
christmas,77
carrey,77
alan,77
twice,76
stunt,76
struggle,76
russell,76
rarely,76
price,76
notice,76
meaning,76
instance,76
horse,76
hasnt,76
guard,76
gore,76
desperate,76
consider,76
asked,76
suit,75
stick,75
portrayal,75
phone,75
numerous,75
jay,75
hot,75
formula,75
filmed,75
discover,75
desire,75
danny,75
count,75
contact,75
capture,75
captain,75
angry,75
younger,74
weird,74
vision,74
travolta,74
teenage,74
task,74
superior,74
spectacular,74
sitting,74
setup,74
sad,74
recommend,74
princess,74
phantom,74
match,74
lose,74
latter,74
jeff,74
includes,74
hair,74
fighting,74
fare,74
cartoon,74
unless,73
toward,73
tommy,73
target,73
strength,73
prove,73
please,73
parody,73
onto,73
martial,73
literally,73
journey,73
hole,73
footage,73
explain,73
culture,73
creepy,73
creating,73
conflict,73
attitude,73
appealing,73
trooper,72
tried,72
surprising,72
smile,72
ray,72
presented,72
opposite,72
marriage,72
legend,72
involves,72
incredible,72
field,72
fbi,72
considered,72
comparison,72
charming,72
center,72
blair,72
bat,72
baldwin,72
avoid,72
apparent,72
vehicle,71
vega,71
twenty,71
total,71
speaking,71
rise,71
public,71
nicely,71
information,71
handle,71
goal,71
flying,71
fate,71
epic,71
driver,71
dozen,71
boat,71
anderson,71
witty,70
test,70
speak,70
snake,70
shallow,70
pure,70
performer,70
path,70
pas,70
nowhere,70
military,70
mile,70
matrix,70
masterpiece,70
keeping,70
hall,70
genuine,70
fascinating,70
editing,70
don,70
dennis,70
continues,70
blame,70
visit,69
satire,69
pointless,69
necessary,69
natural,69
mix,69
mistake,69
inspired,69
generally,69
fashion,69
draw,69
constant,69
bright,69
appreciate,69
academy,69
technical,68
shooting,68
rose,68
roger,68
plane,68
physical,68
mentioned,68
kept,68
intriguing,68
hotel,68
fully,68
forever,68
floor,68
disturbing,68
disappointing,68
crazy,68
crap,68
boyfriend,68
board,68
affleck,68
added,68
weak,67
twin,67
touching,67
slave,67
mulan,67
gang,67
fill,67
fantastic,67
failed,67
explosion,67
developed,67
cross,67
comedic,67
characterization,67
bored,67
wonderfully,66
virtually,66
terrorist,66
taste,66
sympathetic,66
station,66
root,66
rob,66
revenge,66
loses,66
length,66
johnny,66
helen,66
frightening,66
exist,66
enemy,66
deliver,66
content,66
chicken,66
bear,66
bank,66
as,66
appropriate,66
window,65
tragedy,65
tony,65
thrill,65
therefore,65
survive,65
suppose,65
stuck,65
spends,65
sadly,65
ok,65
managed,65
magic,65
japanese,65
impression,65
humorous,65
hoping,65
genius,65
finding,65
fake,65
faith,65
documentary,65
display,65
dangerous,65
cry,65
crowd,65
confusing,65
compelling,65
compared,65
commercial,65
burton,65
blow,65
al,65
turning,64
south,64
shock,64
scare,64
rent,64
process,64
plain,64
pathetic,64
nightmare,64
mel,64
meant,64
matt,64
jane,64
identity,64
hurt,64
double,64
design,64
confused,64
bringing,64
born,64
available,64
unfunny,63
trick,63
starship,63
silent,63
shame,63
serial,63
seat,63
season,63
scale,63
raise,63
prisoner,63
nobody,63
narrative,63
heaven,63
grant,63
fly,63
ed,63
bottom,63
wind,62
visually,62
veteran,62
united,62
trust,62
serve,62
roll,62
risk,62
pg,62
manage,62
limited,62
kelly,62
imagination,62
henry,62
haunting,62
drop,62
clue,62
clooney,62
check,62
anna,62
allows,62
allow,62
won,61
winning,61
superb,61
stunning,61
ripley,61
record,61
reading,61
poorly,61
patient,61
nasty,61
naked,61
moore,61
hunt,61
finale,61
extra,61
destroy,61
dad,61
conversation,61
catherine,61
arm,61
writerdirector,60
ultimate,60
sexy,60
service,60
rival,60
professional,60
miller,60
meeting,60
industry,60
humour,60
hospital,60
goofy,60
frame,60
featuring,60
drag,60
damn,60
claim,60
ad,60
zero,59
ted,59
technology,59
table,59
succeeds,59
sick,59
shouldnt,59
seagal,59
realizes,59
provided,59
portrayed,59
loser,59
intention,59
intense,59
hundred,59
humanity,59
guilty,59
ford,59
current,59
connection,59
brook,59
bland,59
ball,59
author,59
witness,58
watched,58
warrior,58
virus,58
theatre,58
support,58
standing,58
speed,58
sarah,58
routine,58
remarkable,58
relief,58
reaction,58
position,58
offensive,58
nuclear,58
nomination,58
nbsp,58
mainly,58
knowledge,58
hong,58
fat,58
falling,58
failure,58
expecting,58
dying,58
continue,58
cell,58
beach,58
worthy,57
willing,57
welcome,57
washington,57
ticket,57
supposedly,57
stuart,57
slasher,57
rocky,57
regular,57
refuse,57
quiet,57
quest,57
lord,57
jimmy,57
ice,57
hunter,57
hint,57
gold,57
excuse,57
dvd,57
determined,57
cinematographer,57
bus,57
blockbuster,57
beloved,57
beat,57
bar,57
unexpected,56
stereotype,56
shadow,56
seth,56
scorsese,56
russian,56
professor,56
lawrence,56
laughable,56
kong,56
instinct,56
hollow,56
grows,56
grand,56
driving,56
dragon,56
broken,56
bridge,56
brian,56
bomb,56
badly,56
angle,56
ahead,56
wondering,55
wave,55
visuals,55
ugly,55
thomas,55
tear,55
storm,55
source,55
singing,55
ring,55
radio,55
perspective,55
neighbor,55
league,55
exercise,55
eat,55
campbell,55
bone,55
began,55
babe,55
accept,55
yeah,54
xfiles,54
wide,54
wayne,54
walter,54
urban,54
tired,54
thousand,54
taylor,54
suicide,54
stretch,54
sky,54
rate,54
preview,54
overly,54
lucky,54
likable,54
kate,54
inevitable,54
hang,54
forgotten,54
fame,54
emotionally,54
drawn,54
disappointment,54
died,54
danger,54
contrived,54
church,54
charlie,54
cash,54
bloody,54
beast,54
assistant,54
arnold,54
yearold,53
walking,53
tune,53
todd,53
substance,53
study,53
stock,53
sharp,53
self,53
safe,53
plus,53
outstanding,53
oliver,53
monkey,53
location,53
joy,53
interview,53
honest,53
grow,53
fugitive,53
extreme,53
explanation,53
crisis,53
comment,53
barry,53
attractive,53
asking,53
arrives,53
andrew,53
amy,53
woo,52
wise,52
wing,52
utterly,52
thankfully,52
started,52
sport,52
serf,52
rising,52
responsible,52
recall,52
realized,52
previously,52
onscreen,52
mad,52
knight,52
international,52
followed,52
flash,52
expression,52
exact,52
eve,52
era,52
engaging,52
eccentric,52
deadly,52
core,52
community,52
cliched,52
cheesy,52
armageddon,52
acted,52
winner,51
verhoeven,51
stranger,51
security,51
reef,51
progress,51
press,51
positive,51
passion,51
paris,51
naturally,51
mom,51
makeup,51
lynch,51
larry,51
joel,51
jean,51
fish,51
directly,51
contrast,51
chosen,51
burn,51
bed,51
area,51
warm,50
subplots,50
sidney,50
sheer,50
scheme,50
saved,50
reveal,50
religious,50
rain,50
punch,50
phil,50
nicholson,50
melvin,50
meg,50
loving,50
loss,50
learned,50
judge,50
investigation,50
highlight,50
hidden,50
gotten,50
gangster,50
funniest,50
friendship,50
enter,50
england,50
ended,50
dealing,50
condition,50
chief,50
cat,50
carpenter,50
austin,50
williamson,49
thirty,49
theatrical,49
structure,49
sorry,49
sleep,49
remain,49
relatively,49
range,49
pulled,49
pilot,49
originally,49
morning,49
logic,49
justice,49
growing,49
goodman,49
gonna,49
gary,49
freeman,49
evidence,49
dress,49
describe,49
department,49
delightful,49
changed,49
captured,49
built,49
besides,49
baseball,49
anthony,49
werent,48
warning,48
synopsis,48
suspenseful,48
statement,48
sea,48
rick,48
posse,48
originality,48
odonnell,48
object,48
mob,48
mediocre,48
maker,48
joan,48
jake,48
jackal,48
included,48
frequently,48
fallen,48
eric,48
dirty,48
damme,48
cult,48
copy,48
complicated,48
clich,48
circumstance,48
charge,48
capable,48
bulworth,48
bobby,48
bag,48
authority,48
anne,48
afraid,48
whenever,47
unlikely,47
trio,47
trash,47
suggest,47
successfully,47
stallone,47
shocking,47
sell,47
priest,47
placed,47
operation,47
occasional,47
nudity,47
nonetheless,47
narration,47
myers,47
met,47
luck,47
lacking,47
kick,47
hunting,47
hopkins,47
fail,47
explains,47
direct,47
devil,47
degree,47
critique,47
convention,47
buck,47
bride,47
below,47
unnecessary,46
spoiler,46
sitcom,46
roommate,46
research,46
putting,46
pacing,46
movement,46
model,46
laughed,46
interaction,46
hey,46
haunted,46
halloween,46
genuinely,46
extraordinary,46
disappointed,46
delight,46
crystal,46
court,46
colorful,46
challenge,46
celebrity,46
aware,46
accidentally,46
wake,45
vincent,45
unknown,45
tragic,45
surface,45
stiller,45
sole,45
shrek,45
shine,45
sends,45
screening,45
program,45
painful,45
oddly,45
ocean,45
mountain,45
missed,45
lisa,45
knowing,45
knock,45
keaton,45
jon,45
jedi,45
jar,45
jail,45
insult,45
hired,45
heavily,45
halfway,45
glass,45
german,45
foreign,45
fifteen,45
entertain,45
effectively,45
dinner,45
daniel,45
damon,45
cruise,45
corner,45
convinced,45
chicago,45
card,45
block,45
bitter,45
bigger,45
annie,45
advice,45
western,44
universe,44
unfortunate,44
thief,44
terror,44
surely,44
stolen,44
spy,44
slapstick,44
send,44
schwarzenegger,44
sandler,44
robot,44
requires,44
psychological,44
prince,44
opera,44
obsessed,44
nevertheless,44
necessarily,44
moved,44
mental,44
lesson,44
largely,44
jonathan,44
installment,44
initially,44
initial,44
importantly,44
historical,44
hide,44
heroine,44
happening,44
forest,44
explained,44
essentially,44
discovered,44
develop,44
deeper,44
creative,44
china,44
bound,44
beautifully,44
bacon,44
anywhere,44
worker,43
truck,43
trite,43
threat,43
thoroughly,43
terribly,43
technique,43
survivor,43
suffers,43
spark,43
sidekick,43
showed,43
shop,43
river,43
revelation,43
required,43
quaid,43
proceeding,43
politics,43
national,43
mitchell,43
method,43
maggie,43
loose,43
lonely,43
letter,43
leg,43
insight,43
honor,43
greg,43
gift,43
existence,43
everybody,43
crack,43
covered,43
concerned,43
con,43
commentary,43
clean,43
citizen,43
bullet,43
bother,43
appeared,43
alex,43
agree,43
uninteresting,42
understanding,42
unbelievable,42
theyve,42
terry,42
suffering,42
snipe,42
shark,42
segment,42
revealed,42
reporter,42
reminded,42
produce,42
possibility,42
porn,42
pig,42
obligatory,42
notion,42
niro,42
murray,42
mouse,42
london,42
lewis,42
jurassic,42
italian,42
hanging,42
guest,42
finn,42
fifth,42
exchange,42
ensemble,42
editor,42
digital,42
deeply,42
conspiracy,42
combination,42
closer,42
cauldron,42
breaking,42
agrees,42
african,42
vacation,41
twisted,41
tucker,41
tradition,41
tiny,41
threatening,41
suck,41
status,41
size,41
sixth,41
significant,41
satisfying,41
reveals,41
restaurant,41
photography,41
oneliners,41
murderer,41
multiple,41
marry,41
lovely,41
lebowski,41
lake,41
irritating,41
inventive,41
intensity,41
hook,41
holiday,41
granted,41
freedom,41
foster,41
finest,41
favor,41
executive,41
excitement,41
ethan,41
emma,41
drunken,41
drew,41
develops,41
desperately,41
courtroom,41
category,41
bird,41
bet,41
albeit,41
achievement,41
wilson,40
wearing,40
wealthy,40
wallace,40
tribe,40
traditional,40
texas,40
tense,40
teach,40
tape,40
sum,40
suggests,40
skin,40
settle,40
painfully,40
owen,40
occur,40
network,40
neeson,40
nazi,40
lucy,40
hire,40
handled,40
greater,40
gorgeous,40
forth,40
festival,40
extended,40
endless,40
elaborate,40
dry,40
driven,40
destroyed,40
desert,40
described,40
defense,40
davis,40
cuba,40
conventional,40
concern,40
broderick,40
baker,40
artistic,40
arquette,40
aforementioned,40
absurd,40
warner,39
unusual,39
trilogy,39
treatment,39
trapped,39
trade,39
theory,39
terminator,39
sudden,39
stylish,39
struggling,39
spoof,39
spiritual,39
speaks,39
skip,39
site,39
silver,39
revolves,39
remaining,39
reese,39
predecessor,39
practically,39
penn,39
parallel,39
paper,39
overthetop,39
outrageous,39
negative,39
losing,39
likeable,39
judd,39
inspiration,39
hearing,39
headed,39
handful,39
gain,39
frankly,39
france,39
flesh,39
finish,39
drunk,39
directorial,39
designed,39
chain,39
buzz,39
bore,39
beatty,39
beating,39
barrymore,39
allowed,39
suffer,38
sir,38
separate,38
sens,38
screaming,38
saturday,38
ron,38
replaced,38
recognize,38
pretend,38
personally,38
peak,38
obnoxious,38
noir,38
neil,38
michelle,38
mature,38
market,38
magazine,38
kubrick,38
karen,38
jordan,38
jesus,38
irish,38
ideal,38
holding,38
held,38
glenn,38
fool,38
experiment,38
equal,38
empty,38
destruction,38
demand,38
critical,38
creation,38
cox,38
contemporary,38
command,38
childrens,38
childhood,38
carol,38
capsule,38
campaign,38
brad,38
bleak,38
bite,38
attraction,38
airplane,38
affection,38
weekend,37
wannabe,37
unable,37
troubled,37
triumph,37
throwing,37
stumble,37
starting,37
stab,37
roth,37
pitt,37
paltrow,37
onedimensional,37
natasha,37
metal,37
magical,37
lloyd,37
jungle,37
intellectual,37
ingredient,37
independence,37
hype,37
hitchcock,37
hip,37
gory,37
fortunately,37
football,37
fairy,37
expert,37
erotic,37
duvall,37
deserve,37
dean,37
darkness,37
cruel,37
crow,37
convince,37
collection,37
climactic,37
christian,37
basis,37
ala,37
advance,37
adapted,37
wound,36
weight,36
volcano,36
village,36
tree,36
tight,36
thrilling,36
stewart,36
sin,36
shall,36
ruin,36
remembered,36
raised,36
prime,36
ordinary,36
molly,36
mine,36
mask,36
luke,36
lifeless,36
liam,36
ironic,36
investigate,36
introduces,36
influence,36
hostage,36
hopefully,36
higher,36
graham,36
fortune,36
fiennes,36
featured,36
false,36
factor,36
execution,36
dressed,36
diamond,36
designer,36
depressing,36
costner,36
comet,36
combined,36
colonel,36
catholic,36
border,36
blank,36
birth,36
basketball,36
banderas,36
awkward,36
attempting,36
arthur,36
wooden,35
whatsoever,35
sympathy,35
surreal,35
strip,35
soap,35
sing,35
shift,35
scenery,35
response,35
remotely,35
reminiscent,35
quirky,35
prior,35
pie,35
persona,35
paulie,35
paint,35
page,35
overcome,35
occasion,35
north,35
motif,35
morgan,35
mixed,35
mighty,35
luckily,35
lou,35
laughter,35
kenneth,35
innocence,35
incident,35
impressed,35
homage,35
harris,35
golden,35
geoffrey,35
generic,35
garbage,35
fighter,35
established,35
entry,35
ensues,35
dinosaur,35
delivery,35
dealer,35
circle,35
chuckle,35
charisma,35
cgi,35
brilliantly,35
boogie,35
blind,35
behavior,35
alice,35
aid,35
according,35
abandoned,35
variety,34
trend,34
sword,34
succeed,34
storytelling,34
squad,34
specifically,34
spacey,34
southern,34
slip,34
sleepy,34
showgirl,34
shell,34
sheen,34
session,34
scenario,34
sake,34
round,34
rolling,34
reputation,34
relies,34
rachel,34
promising,34
prinze,34
pile,34
picked,34
pet,34
passenger,34
parker,34
official,34
offering,34
occurs,34
obsession,34
notable,34
needle,34
merit,34
mass,34
manager,34
libby,34
leonard,34
laura,34
investigator,34
independent,34
inane,34
ian,34
horizon,34
henstridge,34
handsome,34
gross,34
gratuitous,34
grade,34
gloria,34
gene,34
gem,34
flawed,34
explaining,34
existenz,34
executed,34
enjoying,34
embarrassing,34
eight,34
dropped,34
disbelief,34
demon,34
corny,34
companion,34
coach,34
clothes,34
battlefield,34
bastard,34
assume,34
argument,34
albert,34
youth,33
wong,33
wes,33
voiced,33
via,33
universal,33
trial,33
tour,33
stereotypical,33
stealing,33
stanley,33
soft,33
shut,33
shining,33
served,33
sandra,33
reminds,33
randy,33
quentin,33
primary,33
portion,33
